Series_Ticker,Series_Title,Category,Events_Analyzed,Events_Crossed_90,Crossing_Rate_Pct,Correct_Predictions,Incorrect_Predictions,Accuracy_Pct,Avg_Betting_Window_Minutes,Reliability_Tier
KXLIGUE1GAME,Ligue 1 Game,Sports,67,48,71.64,47,1,97.92,34.77,MEDIUM (20-49)
KXSCOTTISHPREMGAME,Scottish Premiership Game,Sports,67,43,64.18,42,1,97.67,42.58,MEDIUM (20-49)
KXWTAMATCH,WTA Tennis Match,Sports,100,96,96.00,93,3,96.88,74.01,HIGH (50+)
KXMTA,NYC subway riders,Transportation,47,25,53.19,24,1,96.00,6405.80,MEDIUM (20-49)
KXMLBGAME,Professional Baseball Game,Sports,100,96,96.00,92,4,95.83,91.53,HIGH (50+)
KXBTC15M,Bitcoin price up down,Crypto,100,47,47.00,45,2,95.74,6.14,MEDIUM (20-49)
KXATPIT,ATP Italian Open,Sports,46,45,97.83,43,2,95.56,407.72,MEDIUM (20-49)
KXFIFAGAME,Fifa Game,Sports,67,42,62.69,40,2,95.24,281.06,MEDIUM (20-49)
KXLOWTPHIL,Lowest temperature in Philadelphia,Climate and Weather,42,21,50.00,20,1,95.24,1172.69,MEDIUM (20-49)
KXNASDAQ100Z,Nasdaq up,Financials,100,41,41.00,39,2,95.12,302.63,MEDIUM (20-49)
KXT20MATCH,T20 Match,Sports,23,20,86.96,19,1,95.00,1376.55,MEDIUM (20-49)
KXFACUPGAME,FA Cup Game,Sports,32,19,59.38,18,1,94.74,187.91,LOW (1-19)
KXWTAATX,WTA Tour ATX Open,Sports,19,18,94.74,17,1,94.44,701.78,LOW (1-19)
KXAFCONGAME,AFCON Game Winner,Sports,51,35,68.63,33,2,94.29,44.47,MEDIUM (20-49)
KXLOWTDEN,Lowest temperature in Denver,Climate and Weather,35,17,48.57,16,1,94.12,683.54,LOW (1-19)
KXNHLGAME,NHL Game,Sports,100,99,99.00,93,6,93.94,66.28,HIGH (50+)
KXATPCHALLENGERMATCH,Challenger ATP ,Sports,100,97,97.00,91,6,93.81,54.28,HIGH (50+)
KXPPLGAMES,PPL games,Sports,15,15,100.00,14,1,93.33,1275.55,LOW (1-19)
KXEUROLEAGUEGAME,Euroleague Game,Sports,100,100,100.00,93,7,93.00,55.62,HIGH (50+)
KXLOWTNYC,Lowest temperature in NYC,Climate and Weather,34,14,41.18,13,1,92.86,1080.34,LOW (1-19)
KXBOOSTER,COVID boosters,Health,29,14,48.28,13,1,92.86,7467.75,LOW (1-19)
KXATPMATCH,ATP Tennis Match,Sports,100,95,95.00,88,7,92.63,76.17,HIGH (50+)
KXBUNDESLIGAGAME,Bundesliga Game,Sports,67,40,59.70,37,3,92.50,23.54,MEDIUM (20-49)
KXKBLGAME,Korea KBL Game,Sports,53,53,100.00,49,4,92.45,104.15,HIGH (50+)
KXTNOTE,Treasury yield 10Y,Financials,18,13,72.22,12,1,92.31,4374.98,LOW (1-19)
KXLALIGATOTAL,La Liga Total,Sports,64,38,59.38,35,3,92.11,310.08,MEDIUM (20-49)
KXUELGAME,UEFA Europa League Game,Sports,67,38,56.72,35,3,92.11,49.38,MEDIUM (20-49)
KXEFLCHAMPIONSHIPGAME,EFL Championship Game,Sports,67,36,53.73,33,3,91.67,25.95,MEDIUM (20-49)
KXLIGUE1SPREAD,Ligue 1 Spread,Sports,50,12,24.00,11,1,91.67,45.69,LOW (1-19)
KXUCLGAME,UEFA Champions League Game,Sports,67,35,52.24,32,3,91.43,229.57,MEDIUM (20-49)
KXCPI,CPI,Economics,55,23,41.82,21,2,91.30,38040.84,MEDIUM (20-49)
KXNHLTOTAL,NHL Goal Total,Sports,40,23,57.50,21,2,91.30,82.67,MEDIUM (20-49)
KXCASED,COVID daily cases,Health,100,34,34.00,31,3,91.18,1053.69,MEDIUM (20-49)
KXCPIUSEDCAR,CPI on used cars,Economics,40,22,55.00,20,2,90.91,35944.20,MEDIUM (20-49)
KXMLBSPREAD,Pro Baseball Spread,Sports,34,11,32.35,10,1,90.91,51.88,LOW (1-19)
KXNBA3PT,Pro Basketball Player Threes,Sports,44,11,25.00,10,1,90.91,52.02,LOW (1-19)
KXHOCHULMENTION,Kathy Hochul,Mentions,11,11,100.00,10,1,90.91,980.40,LOW (1-19)
KXBELGIANPLGAME,Belgian Pro League Game,Sports,67,42,62.69,38,4,90.48,126.88,MEDIUM (20-49)
KXWTAMAD,WTA Madrid,Sports,31,31,100.00,28,3,90.32,480.43,MEDIUM (20-49)
KXUNITEDCUPMATCH,United Cup Match,Sports,52,51,98.08,46,5,90.20,313.18,HIGH (50+)
KXNCAAWBGAME,College Basketball Women's Game,Sports,100,100,100.00,90,10,90.00,713.17,HIGH (50+)
KXUFCFIGHT,UFC Fight,Sports,100,88,88.00,79,9,89.77,119.64,HIGH (50+)
KXWTACHALLENGERMATCH,Challenger WTA,Sports,78,78,100.00,70,8,89.74,140.96,HIGH (50+)
KXWOWHOCKEY,Winter Olympics Women's Hockey,Sports,19,19,100.00,17,2,89.47,1529.62,LOW (1-19)
KXSHLGAME,SHL Game,Sports,56,56,100.00,50,6,89.29,60.81,HIGH (50+)
KXFRM,Mortgage 30-yr rate this week,Economics,40,9,22.50,8,1,88.89,2383.33,LOW (1-19)
KXCOPADELREYADVANCE,Copa Del Rey To Advance,Sports,18,18,100.00,16,2,88.89,345.81,LOW (1-19)
KXSAUDIPLGAME,Saudi Pro League Game,Sports,67,45,67.16,40,5,88.89,39.31,MEDIUM (20-49)
KXMAMDANIMENTION,What will Zohran Mamdani say?,Mentions,14,9,64.29,8,1,88.89,126.80,LOW (1-19)
KXCONGRESSMENTION,Congress Mention,Mentions,11,9,81.82,8,1,88.89,1220.73,LOW (1-19)
KXCS2MAP,Counter-Strike 2 Map Winner ,Sports,100,98,98.00,87,11,88.78,169.81,HIGH (50+)
KXSUPERLIGGAME,Turkish Super Lig Game,Sports,67,44,65.67,39,5,88.64,23.13,MEDIUM (20-49)
KXRAINSEA,Seattle rain,Climate and Weather,100,26,26.00,23,3,88.46,648.30,MEDIUM (20-49)
KXUECLGAME,UEFA Conference League Game,Sports,67,42,62.69,37,5,88.10,36.92,MEDIUM (20-49)
KXPAYROLLS,Jobs numbers,Economics,47,25,53.19,22,3,88.00,37402.45,MEDIUM (20-49)
KXWNBAGAME,Professional Women's Basketball Game,Sports,100,100,100.00,88,12,88.00,267.04,HIGH (50+)
KXR6MAP,R6 Map Winner,Sports,86,82,95.35,72,10,87.80,32.43,HIGH (50+)
KXCS2GAME,Counter-Strike 2 Game,Sports,100,97,97.00,85,12,87.63,271.96,HIGH (50+)
KXFLIGHTJFK,JFK International Airport total flight delays and cancellations,World,53,8,15.09,7,1,87.50,370.01,LOW (1-19)
KXLALIGAGAME,La Liga Game,Sports,67,40,59.70,35,5,87.50,21.31,MEDIUM (20-49)
KXEKSTRAKLASAGAME,Polish Ekstraklasa Game,Sports,19,8,42.11,7,1,87.50,20.59,LOW (1-19)
KXAFCONADVANCE,AFCON To Advance,Sports,16,16,100.00,14,2,87.50,298.62,LOW (1-19)
KXDFBPOKALGAME,DFB Pokal Game,Sports,12,8,66.67,7,1,87.50,400.00,LOW (1-19)
KXTRUMPMENTIONB,Trump Mention B,Mentions,10,8,80.00,7,1,87.50,1478.11,LOW (1-19)
KXETH15M,ETH 15M price up down,Crypto,100,55,55.00,48,7,87.27,6.68,HIGH (50+)
KXLOLGAMES,League of Legends Games,Sports,39,39,100.00,34,5,87.18,805.98,MEDIUM (20-49)
KXNFLPREPACKSGP,MVE NFL Pre Pack,Sports,50,31,62.00,27,4,87.10,60.62,MEDIUM (20-49)
KXCSGOGAME,Counter-Strike 2 Games,Sports,100,100,100.00,87,13,87.00,133.55,HIGH (50+)
KXCBAGAME,Chinese Basketball Association Game ,Sports,100,100,100.00,87,13,87.00,340.77,HIGH (50+)
KXMLSGAME,Major League Soccer Game,Sports,67,46,68.66,40,6,86.96,125.94,MEDIUM (20-49)
KXFIBAECUPGAME,FIBA Europe Cup Game,Sports,23,23,100.00,20,3,86.96,654.17,MEDIUM (20-49)
KXWTAMIA,WTA Miami,Sports,15,15,100.00,13,2,86.67,428.17,LOW (1-19)
KXATPDOUBLES,ATP Doubles Tennis Match,Sports,15,15,100.00,13,2,86.67,272.54,LOW (1-19)
KXPICKLEBALLGAMES,Pickle Ball Games,Sports,30,30,100.00,26,4,86.67,1762.86,MEDIUM (20-49)
KXEPLGAME,English Premier League Game,Sports,67,45,67.16,39,6,86.67,19.79,MEDIUM (20-49)
KXBRASILEIROGAME,Brasileiro Serie A Game,Sports,67,45,67.16,39,6,86.67,685.60,MEDIUM (20-49)
KXFOWOMEN,French Open Women's,Sports,100,96,96.00,83,13,86.46,437.43,HIGH (50+)
KXEREDIVISIEGAME,Eredivisie Game,Sports,67,51,76.12,44,7,86.27,54.86,HIGH (50+)
KXSOL15M,Solana 15 minutes,Crypto,100,51,51.00,44,7,86.27,6.71,HIGH (50+)
KXLOLGAME,League of Legends Game,Sports,100,100,100.00,86,14,86.00,192.84,HIGH (50+)
KXAHLGAME,AHL Game,Sports,100,99,99.00,85,14,85.86,380.52,HIGH (50+)
KXCPIYOY,Inflation,Economics,21,7,33.33,6,1,85.71,30034.24,LOW (1-19)
KXLNBELITEGAME,LNB Elite Game,Sports,43,42,97.67,36,6,85.71,381.59,MEDIUM (20-49)
KXKIMMELMENTION,Jimmy Kimmel Mention,Mentions,14,7,50.00,6,1,85.71,1598.16,LOW (1-19)
KXINXZ,S&P 500 up,Financials,100,54,54.00,46,8,85.19,325.41,HIGH (50+)
KXVALORANTMAP,Valorant Map Winner,Sports,61,60,98.36,51,9,85.00,36.90,HIGH (50+)
KXNBLGAME,NBL Basketball Game,Sports,81,80,98.77,68,12,85.00,195.13,HIGH (50+)
KXSERIEAGAME,Serie A Game,Sports,67,40,59.70,34,6,85.00,27.71,MEDIUM (20-49)
KXEUROCUPGAME,Eurocup Basketball Game,Sports,86,86,100.00,73,13,84.88,164.87,HIGH (50+)
KXARGPREMDIVGAME,Argentina Primera Division Game,Sports,65,46,70.77,39,7,84.78,91.99,MEDIUM (20-49)
KXGDP,US GDP growth,Economics,23,13,56.52,11,2,84.62,92878.66,LOW (1-19)
KXRAINNY,NYC rain,World,29,13,44.83,11,2,84.62,1232.64,LOW (1-19)
KXFACUPADVANCE,FA Cup Advance,Sports,32,26,81.25,22,4,84.62,255.72,MEDIUM (20-49)
KXLOWTAUS,Lowest temperature in Austin,Climate and Weather,34,13,38.24,11,2,84.62,1020.82,LOW (1-19)
KXVAXX,COVID vaccinations,Health,46,25,54.35,21,4,84.00,5789.02,MEDIUM (20-49)
KXCS2TOTALMAPS,CS2 Total Maps,Sports,100,42,42.00,35,7,83.33,86.75,MEDIUM (20-49)
KXWTAMOA,WTA Tour Merida Open Akron,Sports,17,12,70.59,10,2,83.33,1001.73,LOW (1-19)
KXHIGHMIA,Highest temperature in Miami,Climate and Weather,34,6,17.65,5,1,83.33,890.40,LOW (1-19)
KXVANCEMENTION,Vance Says,Mentions,11,6,54.55,5,1,83.33,1730.27,LOW (1-19)
KXTSA,TSA daily check-ins,Transportation,79,35,44.30,29,6,82.86,981.42,MEDIUM (20-49)
KXFOMEN,French Open Men's,Sports,100,99,99.00,82,17,82.83,736.65,HIGH (50+)
KXATPMAD,ATP Madrid,Sports,29,29,100.00,24,5,82.76,323.77,MEDIUM (20-49)
KXATPMIA,ATP Miami,Sports,23,23,100.00,19,4,82.61,459.00,MEDIUM (20-49)
KXLOLTOTALMAPS,League of Legends Total Maps,Sports,100,57,57.00,47,10,82.46,162.46,HIGH (50+)
KXARGLNBGAME,Liga Nacional de Basquetbol Game,Sports,60,51,85.00,42,9,82.35,147.05,HIGH (50+)
KXPGARYDERMATCH,PGA Ryder Cup Matchups,Sports,29,22,75.86,18,4,81.82,90.93,MEDIUM (20-49)
KXNCAAMLAXGAME,Men's College Lacrosse Game,Sports,22,22,100.00,18,4,81.82,930.29,MEDIUM (20-49)
KXNCAAMENTION,NCAA Mention,Mentions,11,11,100.00,9,2,81.82,314.60,LOW (1-19)
KXAAAGASW,US gas price up,Economics,100,43,43.00,35,8,81.40,6353.93,MEDIUM (20-49)
KXNBAREB,Pro Basketball Player Rebounds,Sports,41,16,39.02,13,3,81.25,68.96,LOW (1-19)
KXKHLGAME,KHL Game,Sports,100,100,100.00,81,19,81.00,268.55,HIGH (50+)
KXNHLSPREAD,NHL Spread,Sports,50,21,42.00,17,4,80.95,73.36,MEDIUM (20-49)
KXWOCURLGAME,Winter Olympics Curling Game,Sports,26,26,100.00,21,5,80.77,452.02,MEDIUM (20-49)
KXSWISSLEAGUEGAME,Swiss Super League Game,Sports,47,31,65.96,25,6,80.65,28.34,MEDIUM (20-49)
KXFIBACHAMPLEAGUEGAME,FIBA Champions League Game,Sports,41,41,100.00,33,8,80.49,109.28,MEDIUM (20-49)
KXLIGAPORTUGALGAME,Liga Portugal Game,Sports,67,41,61.19,33,8,80.49,81.55,MEDIUM (20-49)
KXDGAAWARDS,DGA Awards,Entertainment,12,5,41.67,4,1,80.00,10368.08,LOW (1-19)
KXDOTA2GAME,Dota 2 Game,Sports,100,100,100.00,80,20,80.00,160.48,HIGH (50+)
KXNCAAMBTOTAL,Men's College Basketball Total Points,Sports,22,10,45.45,8,2,80.00,284.45,LOW (1-19)
KXHIGHDEN,Highest temperature in Denver,Climate and Weather,34,10,29.41,8,2,80.00,852.63,LOW (1-19)
KXLOWTMIA,Lowest temperature in Miami,Climate and Weather,34,5,14.71,4,1,80.00,542.84,LOW (1-19)
KXDARTSMATCH,Darts Match,Sports,100,84,84.00,67,17,79.76,230.76,HIGH (50+)
KXJBLEAGUEGAME,Japan B League Game,Sports,83,83,100.00,66,17,79.52,272.11,HIGH (50+)
KXBUNDESLIGATOTAL,Bundesliga Total,Sports,64,43,67.19,34,9,79.07,191.65,MEDIUM (20-49)
KXHNLGAME,Croatia HNL Game,Sports,35,19,54.29,15,4,78.95,59.76,LOW (1-19)
KXNCAAHOCKEYGAME,College Hockey Game,Sports,67,47,70.15,37,10,78.72,134.42,MEDIUM (20-49)
KXTENNISEXHIBITION,Tennis Exhibition Match,Sports,34,23,67.65,18,5,78.26,645.06,MEDIUM (20-49)
KXTOPSONG,Billboard Hot 100 #1,Entertainment,19,9,47.37,7,2,77.78,10730.36,LOW (1-19)
KXAPPRANKFREE,Free app ranking,Entertainment,40,9,22.50,7,2,77.78,1033.46,LOW (1-19)
KXEURO,EURO/USD exchange rate,Financials,12,9,75.00,7,2,77.78,5420.20,LOW (1-19)
KXNFLPREPACK3ML,MVE NFL Pre Pack,Sports,16,9,56.25,7,2,77.78,137.79,LOW (1-19)
KXATPSETWINNER,ATP Set Winner,Sports,100,92,92.00,71,21,77.17,245.29,HIGH (50+)
KXLIGAMXGAME,Liga MX Game,Sports,67,48,71.64,37,11,77.08,332.52,MEDIUM (20-49)
KXCRICKETT20IMATCH,Cricket T20I Match,Sports,68,61,89.71,47,14,77.05,709.00,HIGH (50+)
KXBOXING,Boxing Match Champion,Sports,27,26,96.30,20,6,76.92,3838.67,MEDIUM (20-49)
KXHIGHHOU,Highest temperature in Houston,Climate and Weather,34,26,76.47,20,6,76.92,966.23,MEDIUM (20-49)
KXRAINNYC,NYC rain,Climate and Weather,100,56,56.00,43,13,76.79,1287.83,HIGH (50+)
KXWTAIT,WTA Italian Open,Sports,30,30,100.00,23,7,76.67,311.53,MEDIUM (20-49)
KXNFLPREPACK2ML,MVE NFL Pre Pack,Sports,21,17,80.95,13,4,76.47,129.20,LOW (1-19)
KXCODGAME,Call of Duty Games,Sports,55,55,100.00,42,13,76.36,854.25,HIGH (50+)
KXR6GAME,R6 Game,Sports,97,96,98.97,73,23,76.04,318.30,HIGH (50+)
KXUNRIVALEDGAME,Unrivaled Basketball Game,Sports,26,25,96.15,19,6,76.00,862.99,MEDIUM (20-49)
KXSPOTIFYW,Weekly US Spotify chart,Entertainment,13,4,30.77,3,1,75.00,4314.48,LOW (1-19)
KXTOPALBUM,Billboard Top 200 #1,Entertainment,19,8,42.11,6,2,75.00,10484.37,LOW (1-19)
KXARGINFLATIONM,Argentina inflation,Economics,19,8,42.11,6,2,75.00,41682.50,LOW (1-19)
KXCPIAPPAREL,CPI on apparel,Economics,38,4,10.53,3,1,75.00,27245.48,LOW (1-19)
KXAPRPOTUS,President RCP approval rating this week,Politics,27,4,14.81,3,1,75.00,611.90,LOW (1-19)
KXNBASTL,Pro Basketball Player Steals,Sports,67,24,35.82,18,6,75.00,101.59,MEDIUM (20-49)
KXCOPADELREYGAME,Copa Del Rey Game,Sports,29,20,68.97,15,5,75.00,115.62,MEDIUM (20-49)
KXNCAAFSPREAD,College Football Spread,Sports,13,4,30.77,3,1,75.00,116.88,LOW (1-19)
KXVALORANTGAME,Valorant game winner,Sports,100,100,100.00,75,25,75.00,658.84,HIGH (50+)
KXEPLSPREAD,English Premier League Spread,Sports,50,8,16.00,6,2,75.00,64.33,LOW (1-19)
KXLOWTCHI,Lowest Temperature Chicago,Climate and Weather,48,16,33.33,12,4,75.00,980.46,LOW (1-19)
KXHIGHPHIL,Highest temperature in Philadelphia,Climate and Weather,34,8,23.53,6,2,75.00,1051.46,LOW (1-19)
KXMRBEASTMENTION,What Will Mr Beast say in his next video,Mentions,12,8,66.67,6,2,75.00,9433.96,LOW (1-19)
KXALEAGUEGAME,Australian A League Game,Sports,67,51,76.12,38,13,74.51,39.79,HIGH (50+)
KXSERIEATOTAL,Serie A Total,Sports,64,43,67.19,32,11,74.42,64.31,MEDIUM (20-49)
KXLOLMAP,League of Legends Map Winner,Sports,100,100,100.00,74,26,74.00,31.33,HIGH (50+)
KXUCLTOTAL,Champions League Total Goals,Sports,67,57,85.07,42,15,73.68,66.27,HIGH (50+)
KXCASEW,New COVID-19 cases this week,Health,40,19,47.50,14,5,73.68,5098.41,LOW (1-19)
KXFLIGHTORD,O'Hare International Airport total delays and cancellations,World,53,15,28.30,11,4,73.33,527.01,LOW (1-19)
KXIIHFGAME,IIHF Game,Sports,15,15,100.00,11,4,73.33,260.67,LOW (1-19)
KXSERIEASPREAD,Serie A Spread,Sports,50,11,22.00,8,3,72.73,52.99,LOW (1-19)
KXBUNDESLIGASPREAD,Bundesliga Spread,Sports,50,11,22.00,8,3,72.73,52.41,LOW (1-19)
KXTORNADO,Number of Tornadoes,Climate and Weather,22,11,50.00,8,3,72.73,15625.19,LOW (1-19)
KXOILW,Price of oil weekly,Economics,16,7,43.75,5,2,71.43,7478.11,LOW (1-19)
KXNBATOTAL,Pro Basketball Total Points,Sports,19,7,36.84,5,2,71.43,38.07,LOW (1-19)
KXHIGHTSFO,San Francisco High Temperature Daily,Climate and Weather,28,7,25.00,5,2,71.43,538.24,LOW (1-19)
KXJLEAGUEGAME,Japan J League Game,Sports,40,24,60.00,17,7,70.83,116.17,MEDIUM (20-49)
KXTACAPORTGAME,Taca de Portugal Game,Sports,13,10,76.92,7,3,70.00,57.21,LOW (1-19)
KXNBAAST,Pro Basketball Player Assists,Sports,44,20,45.45,14,6,70.00,147.56,MEDIUM (20-49)
KXCLUBWCGAME,Club World Club Game,Sports,62,35,56.45,24,11,68.57,538.80,MEDIUM (20-49)
KXXRP15M,XRP 15 Minute,Crypto,81,50,61.73,34,16,68.00,6.91,HIGH (50+)
KXNETFLIXRANKMOVIE,Netflix movie ranking,Entertainment,15,9,60.00,6,3,66.67,5491.58,LOW (1-19)
KXNETFLIXRANKSHOWRUNNERUP,RUNNER UP NETFLIX SHOW,Entertainment,11,6,54.55,4,2,66.67,3458.90,LOW (1-19)
KXCPICOREYOY,Core inflation,Economics,23,6,26.09,4,2,66.67,32611.20,LOW (1-19)
KXJOBLESS,Initial jobless claims,Economics,69,6,8.70,4,2,66.67,4167.55,LOW (1-19)
KXPCECORE,US Core PCE inflation,Economics,16,6,37.50,4,2,66.67,18975.10,LOW (1-19)
KXFEDDECISION,Fed meeting,Economics,24,3,12.50,2,1,66.67,54394.43,LOW (1-19)
KXGOLD,Price of gold,Financials,19,9,47.37,6,3,66.67,374.93,LOW (1-19)
KX538APPROVEMIN,Biden 538 lowest approval rating,Politics,23,6,26.09,4,2,66.67,19476.83,LOW (1-19)
KXNBABLK,Pro Basketball Player Blocks,Sports,67,12,17.91,8,4,66.67,77.19,LOW (1-19)
KXNFLSPREAD,Pro Football Spread,Sports,12,3,25.00,2,1,66.67,3303.33,LOW (1-19)
KXCOPPAITALIAGAME,Coppa Italia Game,Sports,12,6,50.00,4,2,66.67,483.53,LOW (1-19)
KXPICKLEBALL,pickleball,Sports,15,6,40.00,4,2,66.67,4737.70,LOW (1-19)
KXNFL2TD,Pro Football Multiple Touchdowns,Sports,32,3,9.38,2,1,66.67,111.63,LOW (1-19)
KXCRICKETODIMATCH,Cricket ODI Match,Sports,16,15,93.75,10,5,66.67,1898.57,LOW (1-19)
KXLALIGASPREAD,La Liga Spread,Sports,50,9,18.00,6,3,66.67,41.18,LOW (1-19)
KXLOWTLAX,Lowest Temperature in LA,Climate and Weather,34,9,26.47,6,3,66.67,1113.42,LOW (1-19)
KXHIGHAUS,Highest temperature in Austin,Climate and Weather,34,6,17.65,4,2,66.67,1463.33,LOW (1-19)
KXEPLTOTAL,English Premier League Total Goals,Sports,67,49,73.13,32,17,65.31,87.21,MEDIUM (20-49)
KXNFLREC,Pro Football Player Receptions,Sports,40,14,35.00,9,5,64.29,148.49,LOW (1-19)
KXATPTOTALSETS,ATP Total Sets,Sports,82,60,73.17,38,22,63.33,1400.79,HIGH (50+)
KXNBAPTS,Pro Basketball Player Points,Sports,51,19,37.25,12,7,63.16,157.81,LOW (1-19)
KXHMONTHRANGE,Monthly Temperature Increase (ºC),Climate and Weather,19,8,42.11,5,3,62.50,23478.50,LOW (1-19)
KXLIGUE1TOTAL,Ligue 1 Total,Sports,64,45,70.31,28,17,62.22,120.51,MEDIUM (20-49)
KXCOUPEDEFRANCEGAME,Coupe de France Gam,Sports,24,21,87.50,13,8,61.90,232.48,MEDIUM (20-49)
KXNCAABMENTION,College Basketball,Mentions,13,13,100.00,8,5,61.54,1019.42,LOW (1-19)
KXNCAAMBSPREAD,Men's College Basketball Spread,Sports,18,5,27.78,3,2,60.00,65.54,LOW (1-19)
KXNFLPASSTDS,Pro Football player Passing Touchdowns,Sports,50,20,40.00,12,8,60.00,123.25,MEDIUM (20-49)
KXNCAAFPREPACKSGP,MVE NCAAF Pre Pack,Sports,12,5,41.67,3,2,60.00,97.64,LOW (1-19)
KXHIGHLAX,Highest temperature in Los Angeles,Climate and Weather,34,5,14.71,3,2,60.00,1418.80,LOW (1-19)
KXCOLBERTMENTION,Colbert Mention,Mentions,12,10,83.33,6,4,60.00,2333.96,LOW (1-19)
KXLEAVITTLATE,Karoline Leavitt Late,Mentions,10,5,50.00,3,2,60.00,289.52,LOW (1-19)
KXUCLSPREAD,Champions League Spread,Sports,51,12,23.53,7,5,58.33,57.88,LOW (1-19)
KXKLEAGUEGAME,Korea K League Game,Sports,18,12,66.67,7,5,58.33,83.78,LOW (1-19)
KXATPAMT,ATP Tour Abierto Mexican Telcel presentado por HSBC,Sports,21,21,100.00,12,9,57.14,735.02,MEDIUM (20-49)
KXADP,ADP employment change,Economics,21,11,52.38,6,5,54.55,25135.88,LOW (1-19)
KXNBA2D,Pro Basketball Double Double,Sports,56,32,57.14,17,15,53.12,177.66,MEDIUM (20-49)
KXBILLBOARDRUNNERUPSONG,Will Song be number 2 on Billboard 100?,Entertainment,18,4,22.22,2,2,50.00,6173.77,LOW (1-19)
KXNETFLIXRANKMOVIERUNNERUP,RUNNER UP NETFLIX MOVIE,Entertainment,11,4,36.36,2,2,50.00,2413.75,LOW (1-19)
