Sub_Category,Kalshi_Ticker,Market_Question,Price_At_85_Plus,Settlement_Date,Result,Settlement_Value,First_Touch_Time,Series_Ticker,Series_Title
Climate and Weather > Temperature,KXHIGHHOU-25JAN07-T50,"Will the **high temp in Houston** be >50° on Jan 7, 2025?",99,2025-01-08,CORRECT,100,2025-01-07T21:11:29.636721Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN07-B49.5,"Will the **high temp in Houston** be 49-50° on Jan 7, 2025?",95,2025-01-08,WRONG,0,2025-01-07T20:51:23.358153Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN08-B43.5,"Will the **high temp in Houston** be 43-44° on Jan 8, 2025?",90,2025-01-09,CORRECT,100,2025-01-08T22:52:55.295229Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN09-B45.5,"Will the **high temp in Houston** be 45-46° on Jan 9, 2025?",98,2025-01-10,CORRECT,100,2025-01-09T17:59:59.717009Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN10-B43.5,"Will the **high temp in Houston** be 43-44° on Jan 10, 2025?",90,2025-01-11,CORRECT,100,2025-01-10T18:33:12.799412Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN11-T54,"Will the **high temp in Houston** be >54° on Jan 11, 2025?",98,2025-01-12,WRONG,0,2025-01-11T15:07:22.456994Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN11-B53.5,"Will the **high temp in Houston** be 53-54° on Jan 11, 2025?",99,2025-01-12,CORRECT,100,2025-01-10T21:33:24.675446Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN12-T56,"Will the **high temp in Houston** be >56° on Jan 12, 2025?",91,2025-01-13,CORRECT,100,2025-01-12T18:45:33.530845Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN13-T58,"Will the **high temp in Houston** be >58° on Jan 13, 2025?",91,2025-01-14,CORRECT,100,2025-01-13T13:01:32.043041Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN14-B54.5,"Will the **high temp in Houston** be 54-55° on Jan 14, 2025?",90,2025-01-15,WRONG,0,2025-01-15T04:20:36.047174Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN14-B52.5,"Will the **high temp in Houston** be 52-53° on Jan 14, 2025?",90,2025-01-15,CORRECT,100,2025-01-14T21:28:54.815585Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN15-B54.5,"Will the **high temp in Houston** be 54-55° on Jan 15, 2025?",90,2025-01-16,CORRECT,100,2025-01-15T22:24:11.888025Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN15-B52.5,"Will the **high temp in Houston** be 52-53° on Jan 15, 2025?",90,2025-01-16,WRONG,0,2025-01-15T21:39:04.191024Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN16-B64.5,"Will the **high temp in Houston** be 64-65° on Jan 16, 2025?",98,2025-01-17,CORRECT,100,2025-01-16T20:48:07.641644Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN17-B67.5,"Will the **high temp in Houston** be 67-68° on Jan 17, 2025?",90,2025-01-18,CORRECT,100,2025-01-17T21:37:30.372348Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN18-B67.5,"Will the **high temp in Houston** be 67-68° on Jan 18, 2025?",99,2025-01-19,CORRECT,100,2025-01-18T06:44:57.577074Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN18-B65.5,"Will the **high temp in Houston** be 65-66° on Jan 18, 2025?",99,2025-01-19,WRONG,0,2025-01-18T06:30:27.07961Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN19-B46.5,"Will the **high temp in Houston** be 46-47° on Jan 19, 2025?",90,2025-01-20,CORRECT,100,2025-01-19T05:48:10.202587Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN20-B39.5,"Will the **high temp in Houston** be 39-40° on Jan 20, 2025?",98,2025-01-21,WRONG,0,2025-01-20T18:58:29.822605Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN20-B37.5,"Will the **high temp in Houston** be 37-38° on Jan 20, 2025?",90,2025-01-21,CORRECT,100,2025-01-20T20:17:28.746508Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN21-T37,"Will the **high temp in Houston** be >37° on Jan 21, 2025?",90,2025-01-22,CORRECT,100,2025-01-21T22:31:10.81244Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN21-B36.5,"Will the **high temp in Houston** be 36-37° on Jan 21, 2025?",90,2025-01-22,WRONG,0,2025-01-21T21:16:08.567951Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN22-T42,"Will the **high temp in Houston** be >42° on Jan 22, 2025?",90,2025-01-23,CORRECT,100,2025-01-22T02:55:53.563879Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN23-T52,"Will the **high temp in Houston** be >52° on Jan 23, 2025?",99,2025-01-24,CORRECT,100,2025-01-23T13:38:53.155496Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN24-T54,"Will the **high temp in Houston** be >54° on Jan 24, 2025?",90,2025-01-25,CORRECT,100,2025-01-24T05:31:28.029191Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN25-T64,"Will the **high temp in Houston** be >64° on Jan 25, 2025?",93,2025-01-26,CORRECT,100,2025-01-25T16:37:47.048858Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN26-T70,"Will the **high temp in Houston** be >70° on Jan 26, 2025?",95,2025-01-27,CORRECT,100,2025-01-26T22:22:39.672647Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN26-B69.5,"Will the **high temp in Houston** be 69-70° on Jan 26, 2025?",91,2025-01-27,WRONG,0,2025-01-27T01:20:22.350932Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN27-T63,"Will the **high temp in Houston** be >63° on Jan 27, 2025?",95,2025-01-28,CORRECT,100,2025-01-27T23:55:44.59595Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN27-B62.5,"Will the **high temp in Houston** be 62-63° on Jan 27, 2025?",93,2025-01-28,WRONG,0,2025-01-27T20:45:14.120266Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN28-B63.5,"Will the **high temp in Houston** be 63-64° on Jan 28, 2025?",97,2025-01-29,WRONG,0,2025-01-29T01:43:58.695695Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXHIGHHOU-25JAN28-B61.5,"Will the **high temp in Houston** be 61-62° on Jan 28, 2025?",92,2025-01-29,CORRECT,100,2025-01-28T22:25:29.850031Z,KXHIGHHOU,Highest temperature in Houston
Climate and Weather > Temperature,KXLOWTMIA-26JAN10-T71,"Will the minimum temperature be  >71° on Jan 10, 2026?",95,2026-01-11,CORRECT,100,2026-01-11T01:24:56.430228Z,KXLOWTMIA,Lowest temperature in Miami
Climate and Weather > Temperature,KXHIGHPHIL-26JAN10-T52,"Will the **high temp in Philadelphia** be <52° on Jan 10, 2026?",91,2026-01-11,CORRECT,100,2026-01-10T03:49:18.115857Z,KXHIGHPHIL,Highest temperature in Philadelphia
Climate and Weather > Temperature,KXHIGHMIA-26JAN11-B83.5,"Will the **high temp in Miami** be 83-84° on Jan 11, 2026?",90,2026-01-12,CORRECT,100,2026-01-11T18:39:13.61894Z,KXHIGHMIA,Highest temperature in Miami
Climate and Weather > Temperature,KXHIGHDEN-26JAN11-T54,"Will the **high temp in Denver** be >54° on Jan 11, 2026?",90,2026-01-12,CORRECT,100,2026-01-11T19:15:25.304335Z,KXHIGHDEN,Highest temperature in Denver
Climate and Weather > Temperature,KXLOWTPHIL-26JAN11-T34,"Will the minimum temperature be  >34° on Jan 11, 2026?",93,2026-01-12,CORRECT,100,2026-01-12T04:18:02.072579Z,KXLOWTPHIL,Lowest temperature in Philadelphia
Climate and Weather > Temperature,KXLOWTNYC-26JAN11-B34.5,"Will the minimum temperature be  34-35° on Jan 11, 2026?",92,2026-01-12,CORRECT,100,2026-01-12T04:10:58.656725Z,KXLOWTNYC,Lowest temperature in NYC
Climate and Weather > Temperature,KXHIGHLAX-26JAN11-T73,"Will the **high temp in LA** be >73° on Jan 11, 2026?",94,2026-01-12,CORRECT,100,2026-01-11T20:21:59.784499Z,KXHIGHLAX,Highest temperature in Los Angeles
Climate and Weather > Temperature,KXLOWTCHI-26JAN11-B22.5,"Will the minimum temperature be  22-23° on Jan 11, 2026?",90,2026-01-12,CORRECT,100,2026-01-11T14:29:22.308861Z,KXLOWTCHI,Lowest Temperature Chicago
Climate and Weather > Temperature,KXLOWTMIA-26JAN11-B67.5,"Will the minimum temperature be  67-68° on Jan 11, 2026?",98,2026-01-12,CORRECT,99,2026-01-11T18:17:21.437048Z,KXLOWTMIA,Lowest temperature in Miami
Climate and Weather > Temperature,KXLOWTLAX-26JAN11-B44.5,"Will the minimum temperature be  44-45° on Jan 11, 2026?",95,2026-01-12,CORRECT,100,2026-01-11T13:00:19.587165Z,KXLOWTLAX,Lowest Temperature in LA
Climate and Weather > Temperature,KXLOWTDEN-26JAN11-T26,"Will the minimum temperature be  >26° on Jan 11, 2026?",90,2026-01-12,CORRECT,100,2026-01-11T16:11:35.975899Z,KXLOWTDEN,Lowest temperature in Denver
Climate and Weather > Temperature,KXLOWTAUS-26JAN11-B37.5,"Will the minimum temperature be  37-38° on Jan 11, 2026?",93,2026-01-12,CORRECT,100,2026-01-11T15:36:13.474241Z,KXLOWTAUS,Lowest temperature in Austin
Climate and Weather > Temperature,KXHIGHPHIL-26JAN11-B48.5,"Will the **high temp in Philadelphia** be 48-49° on Jan 11, 2026?",90,2026-01-12,CORRECT,100,2026-01-11T18:44:08.584368Z,KXHIGHPHIL,Highest temperature in Philadelphia
Climate and Weather > Temperature,KXHIGHPHIL-26JAN11-B46.5,"Will the **high temp in Philadelphia** be 46-47° on Jan 11, 2026?",90,2026-01-12,WRONG,0,2026-01-11T13:23:56.408813Z,KXHIGHPHIL,Highest temperature in Philadelphia
Climate and Weather > Temperature,KXHIGHAUS-26JAN11-B64.5,"Will the **high temp in Austin** be 64-65° on Jan 11, 2026?",92,2026-01-12,WRONG,0,2026-01-11T19:40:19.821214Z,KXHIGHAUS,Highest temperature in Austin
Climate and Weather > Temperature,KXHIGHAUS-26JAN11-B62.5,"Will the **high temp in Austin** be 62-63° on Jan 11, 2026?",92,2026-01-12,CORRECT,100,2026-01-11T20:56:41.068849Z,KXHIGHAUS,Highest temperature in Austin
Climate and Weather > Temperature,KXHIGHNY-26JAN11-B46.5,"Will the **high temp in NYC** be 46-47° on Jan 11, 2026?",90,2026-01-12,CORRECT,100,2026-01-11T16:59:39.287319Z,KXHIGHNY,Highest temperature in NYC
Climate and Weather > Temperature,KXHIGHCHI-26JAN11-B34.5,"Will the high temp in Chicago be 34-35° on Jan 11, 2026?",90,2026-01-12,CORRECT,100,2026-01-11T20:28:18.361614Z,KXHIGHCHI,Highest temperature in Chicago
Climate and Weather > Temperature,KXHIGHMIA-26JAN12-B76.5,"Will the **high temp in Miami** be 76-77° on Jan 12, 2026?",93,2026-01-13,CORRECT,100,2026-01-12T18:04:47.453855Z,KXHIGHMIA,Highest temperature in Miami
Climate and Weather > Temperature,KXHIGHDEN-26JAN12-T56,"Will the **high temp in Denver** be >56° on Jan 12, 2026?",91,2026-01-13,CORRECT,100,2026-01-11T23:56:28.109133Z,KXHIGHDEN,Highest temperature in Denver
Climate and Weather > Temperature,KXLOWTPHIL-26JAN12-B30.5,"Will the minimum temperature be  30-31° on Jan 12, 2026?",90,2026-01-13,CORRECT,100,2026-01-12T13:29:25.226135Z,KXLOWTPHIL,Lowest temperature in Philadelphia
Climate and Weather > Temperature,KXLOWTNYC-26JAN12-B32.5,"Will the minimum temperature be  32-33° on Jan 12, 2026?",93,2026-01-13,WRONG,0,2026-01-12T12:32:05.769561Z,KXLOWTNYC,Lowest temperature in NYC
Climate and Weather > Temperature,KXLOWTNYC-26JAN12-B30.5,"Will the minimum temperature be  30-31° on Jan 12, 2026?",95,2026-01-13,CORRECT,100,2026-01-12T17:53:19.795374Z,KXLOWTNYC,Lowest temperature in NYC
Climate and Weather > Temperature,KXHIGHLAX-26JAN12-B72.5,"Will the **high temp in LA** be 72-73° on Jan 12, 2026?",91,2026-01-13,CORRECT,100,2026-01-12T21:22:21.699864Z,KXHIGHLAX,Highest temperature in Los Angeles
Climate and Weather > Temperature,KXLOWTCHI-26JAN12-B26.5,"Will the minimum temperature be  26-27° on Jan 12, 2026?",90,2026-01-13,CORRECT,100,2026-01-12T09:27:57.240056Z,KXLOWTCHI,Lowest Temperature Chicago
Climate and Weather > Temperature,KXLOWTMIA-26JAN12-B64.5,"Will the minimum temperature be  64-65° on Jan 12, 2026?",92,2026-01-13,CORRECT,100,2026-01-12T12:10:42.001727Z,KXLOWTMIA,Lowest temperature in Miami
Climate and Weather > Temperature,KXLOWTLAX-26JAN12-B48.5,"Will the minimum temperature be  48-49° on Jan 12, 2026?",90,2026-01-13,CORRECT,100,2026-01-12T15:37:18.362862Z,KXLOWTLAX,Lowest Temperature in LA
Climate and Weather > Temperature,KXLOWTDEN-26JAN12-B29.5,"Will the minimum temperature be  29-30° on Jan 12, 2026?",93,2026-01-13,CORRECT,100,2026-01-12T14:03:14.888233Z,KXLOWTDEN,Lowest temperature in Denver
Climate and Weather > Temperature,KXLOWTAUS-26JAN12-B35.5,"Will the minimum temperature be  35-36° on Jan 12, 2026?",93,2026-01-13,CORRECT,100,2026-01-12T09:15:15.784522Z,KXLOWTAUS,Lowest temperature in Austin
Climate and Weather > Temperature,KXHIGHPHIL-26JAN12-B45.5,"Will the **high temp in Philadelphia** be 45-46° on Jan 12, 2026?",91,2026-01-13,CORRECT,100,2026-01-12T19:56:38.691162Z,KXHIGHPHIL,Highest temperature in Philadelphia
Climate and Weather > Temperature,KXHIGHAUS-26JAN12-B65.5,"Will the **high temp in Austin** be 65-66° on Jan 12, 2026?",91,2026-01-13,CORRECT,100,2026-01-12T22:14:10.127228Z,KXHIGHAUS,Highest temperature in Austin
Climate and Weather > Temperature,KXHIGHNY-26JAN12-B41.5,"Will the **high temp in NYC** be 41-42° on Jan 12, 2026?",94,2026-01-13,CORRECT,100,2026-01-12T20:16:15.86222Z,KXHIGHNY,Highest temperature in NYC
Climate and Weather > Temperature,KXHIGHCHI-26JAN12-B43.5,"Will the high temp in Chicago be 43-44° on Jan 12, 2026?",90,2026-01-13,WRONG,0,2026-01-12T20:17:52.278469Z,KXHIGHCHI,Highest temperature in Chicago
Climate and Weather > Temperature,KXHIGHCHI-26JAN12-B41.5,"Will the high temp in Chicago be 41-42° on Jan 12, 2026?",95,2026-01-13,CORRECT,100,2026-01-12T21:17:18.683396Z,KXHIGHCHI,Highest temperature in Chicago
Climate and Weather > Temperature,KXHIGHMIA-26JAN13-T75,"Will the **high temp in Miami** be <75° on Jan 13, 2026?",90,2026-01-14,CORRECT,100,2026-01-13T18:06:15.5293Z,KXHIGHMIA,Highest temperature in Miami
Climate and Weather > Temperature,KXHIGHDEN-26JAN13-B61.5,"Will the **high temp in Denver** be 61-62° on Jan 13, 2026?",92,2026-01-14,CORRECT,100,2026-01-13T20:59:54.138383Z,KXHIGHDEN,Highest temperature in Denver
Climate and Weather > Temperature,KXLOWTPHIL-26JAN13-B27.5,"Will the minimum temperature be  27-28° on Jan 13, 2026?",92,2026-01-14,CORRECT,100,2026-01-13T11:56:28.226149Z,KXLOWTPHIL,Lowest temperature in Philadelphia
Climate and Weather > Temperature,KXLOWTNYC-26JAN13-B34.5,"Will the minimum temperature be  34-35° on Jan 13, 2026?",93,2026-01-14,CORRECT,100,2026-01-13T12:23:49.079115Z,KXLOWTNYC,Lowest temperature in NYC
Climate and Weather > Temperature,KXHIGHLAX-26JAN13-B78.5,"Will the **high temp in LA** be 78-79° on Jan 13, 2026?",90,2026-01-14,CORRECT,100,2026-01-13T21:29:43.560452Z,KXHIGHLAX,Highest temperature in Los Angeles
Climate and Weather > Temperature,KXLOWTCHI-26JAN13-B34.5,"Will the minimum temperature be  34-35° on Jan 13, 2026?",92,2026-01-14,CORRECT,100,2026-01-13T09:15:51.275535Z,KXLOWTCHI,Lowest Temperature Chicago
Climate and Weather > Temperature,KXLOWTMIA-26JAN13-B68.5,"Will the minimum temperature be  68-69° on Jan 13, 2026?",94,2026-01-14,CORRECT,100,2026-01-13T14:08:53.338931Z,KXLOWTMIA,Lowest temperature in Miami
Climate and Weather > Temperature,KXLOWTLAX-26JAN13-B46.5,"Will the minimum temperature be  46-47° on Jan 13, 2026?",93,2026-01-14,CORRECT,100,2026-01-13T13:00:44.244925Z,KXLOWTLAX,Lowest Temperature in LA
Climate and Weather > Temperature,KXLOWTDEN-26JAN13-T34,"Will the minimum temperature be  >34° on Jan 13, 2026?",94,2026-01-14,CORRECT,100,2026-01-13T12:48:39.112176Z,KXLOWTDEN,Lowest temperature in Denver
Climate and Weather > Temperature,KXLOWTAUS-26JAN13-T46,"Will the minimum temperature be  >46° on Jan 13, 2026?",94,2026-01-14,WRONG,0,2026-01-13T12:57:55.499777Z,KXLOWTAUS,Lowest temperature in Austin
Climate and Weather > Temperature,KXLOWTAUS-26JAN13-B45.5,"Will the minimum temperature be  45-46° on Jan 13, 2026?",95,2026-01-14,CORRECT,100,2026-01-14T05:56:47.344496Z,KXLOWTAUS,Lowest temperature in Austin
Climate and Weather > Temperature,KXHIGHPHIL-26JAN13-B51.5,"Will the **high temp in Philadelphia** be 51-52° on Jan 13, 2026?",92,2026-01-14,CORRECT,100,2026-01-13T19:41:31.854142Z,KXHIGHPHIL,Highest temperature in Philadelphia
Climate and Weather > Temperature,KXHIGHAUS-26JAN13-B60.5,"Will the **high temp in Austin** be 60-61° on Jan 13, 2026?",90,2026-01-14,CORRECT,100,2026-01-13T21:16:45.367436Z,KXHIGHAUS,Highest temperature in Austin
Climate and Weather > Temperature,KXHIGHNY-26JAN13-B47.5,"Will the **high temp in NYC** be 47-48° on Jan 13, 2026?",94,2026-01-14,CORRECT,100,2026-01-13T19:53:12.917784Z,KXHIGHNY,Highest temperature in NYC
Climate and Weather > Temperature,KXHIGHCHI-26JAN13-B50.5,"Will the high temp in Chicago be 50-51° on Jan 13, 2026?",90,2026-01-14,CORRECT,100,2026-01-13T20:32:03.640094Z,KXHIGHCHI,Highest temperature in Chicago
Climate and Weather > Temperature,KXHIGHTDC-26JAN14-B51.5,"Will the maximum temperature be  51-52° on Jan 14, 2026?",92,2026-01-15,CORRECT,100,2026-01-14T19:28:22.437773Z,KXHIGHTDC,Washington DC Daily Max Temp
Climate and Weather > Temperature,KXHIGHMIA-26JAN14-B79.5,"Will the **high temp in Miami** be 79-80° on Jan 14, 2026?",90,2026-01-15,CORRECT,100,2026-01-14T19:44:20.851513Z,KXHIGHMIA,Highest temperature in Miami
Climate and Weather > Temperature,KXHIGHDEN-26JAN14-B54.5,"Will the **high temp in Denver** be 54-55° on Jan 14, 2026?",92,2026-01-15,CORRECT,100,2026-01-14T21:24:25.687261Z,KXHIGHDEN,Highest temperature in Denver
Climate and Weather > Temperature,KXLOWTPHIL-26JAN14-T41,"Will the minimum temperature be  >41° on Jan 14, 2026?",90,2026-01-15,CORRECT,100,2026-01-14T15:09:22.037618Z,KXLOWTPHIL,Lowest temperature in Philadelphia
Climate and Weather > Temperature,KXLOWTNYC-26JAN14-T42,"Will the minimum temperature be  >42° on Jan 14, 2026?",93,2026-01-15,CORRECT,100,2026-01-14T13:28:59.889816Z,KXLOWTNYC,Lowest temperature in NYC
Climate and Weather > Temperature,KXHIGHLAX-26JAN14-B80.5,"Will the **high temp in LA** be 80-81° on Jan 14, 2026?",92,2026-01-15,CORRECT,100,2026-01-14T20:18:38.506371Z,KXHIGHLAX,Highest temperature in Los Angeles
Climate and Weather > Temperature,KXHIGHTLV-26JAN14-B74.5,"Will the maximum temperature be  74-75° on Jan 14, 2026?",93,2026-01-15,WRONG,0,2026-01-14T23:09:12.848047Z,KXHIGHTLV,Las Vegas Max Daily Temperature
Climate and Weather > Temperature,KXHIGHTLV-26JAN14-B72.5,"Will the maximum temperature be  72-73° on Jan 14, 2026?",93,2026-01-15,CORRECT,100,2026-01-14T22:25:29.787908Z,KXHIGHTLV,Las Vegas Max Daily Temperature
Climate and Weather > Temperature,KXLOWTCHI-26JAN14-B19.5,"Will the minimum temperature be  19-20° on Jan 14, 2026?",93,2026-01-15,CORRECT,100,2026-01-15T05:55:36.379239Z,KXLOWTCHI,Lowest Temperature Chicago
Climate and Weather > Temperature,KXLOWTMIA-26JAN14-B65.5,"Will the minimum temperature be  65-66° on Jan 14, 2026?",90,2026-01-15,CORRECT,100,2026-01-14T15:26:00.920007Z,KXLOWTMIA,Lowest temperature in Miami
Climate and Weather > Temperature,KXLOWTLAX-26JAN14-B50.5,"Will the minimum temperature be  50-51° on Jan 14, 2026?",93,2026-01-15,CORRECT,100,2026-01-14T12:56:31.670118Z,KXLOWTLAX,Lowest Temperature in LA
Climate and Weather > Temperature,KXLOWTDEN-26JAN14-B35.5,"Will the minimum temperature be  35-36° on Jan 14, 2026?",93,2026-01-15,WRONG,0,2026-01-14T14:17:00.022002Z,KXLOWTDEN,Lowest temperature in Denver
Climate and Weather > Temperature,KXLOWTDEN-26JAN14-B33.5,"Will the minimum temperature be  33-34° on Jan 14, 2026?",95,2026-01-15,CORRECT,100,2026-01-14T14:39:35.74261Z,KXLOWTDEN,Lowest temperature in Denver
Climate and Weather > Temperature,KXHIGHTSFO-26JAN14-B59.5,"Will the maximum temperature be  59-60° on Jan 14, 2026?",93,2026-01-15,CORRECT,100,2026-01-14T22:28:10.852807Z,KXHIGHTSFO,San Francisco High Temperature Daily
Climate and Weather > Temperature,KXHIGHTSEA-26JAN14-B53.5,"Will the maximum temperature be  53-54° on Jan 14, 2026?",90,2026-01-15,CORRECT,100,2026-01-14T21:06:04.055401Z,KXHIGHTSEA,Seattle Maximum Temperature Daily
Climate and Weather > Temperature,KXHIGHTSEA-26JAN14-B51.5,"Will the maximum temperature be  51-52° on Jan 14, 2026?",90,2026-01-15,WRONG,0,2026-01-14T15:51:24.378489Z,KXHIGHTSEA,Seattle Maximum Temperature Daily
Climate and Weather > Temperature,KXLOWTAUS-26JAN14-T38,"Will the minimum temperature be  <38° on Jan 14, 2026?",99,2026-01-15,CORRECT,100,2026-01-14T12:22:08.568449Z,KXLOWTAUS,Lowest temperature in Austin
Climate and Weather > Temperature,KXHIGHTNOLA-26JAN14-B67.5,"Will the maximum temperature be  67-68° on Jan 14, 2026?",93,2026-01-15,CORRECT,100,2026-01-14T21:04:46.464932Z,KXHIGHTNOLA,New Orleans Max temp Daily
Climate and Weather > Temperature,KXHIGHPHIL-26JAN14-T55,"Will the **high temp in Philadelphia** be >55° on Jan 14, 2026?",97,2026-01-15,CORRECT,100,2026-01-14T14:05:06.094562Z,KXHIGHPHIL,Highest temperature in Philadelphia
Climate and Weather > Temperature,KXHIGHAUS-26JAN14-B69.5,"Will the **high temp in Austin** be 69-70° on Jan 14, 2026?",90,2026-01-15,CORRECT,100,2026-01-14T19:23:27.308571Z,KXHIGHAUS,Highest temperature in Austin
