sub_category,markets_0-25%,accuracy_0-25%,status_0-25%,markets_25-50%,accuracy_25-50%,status_25-50%,markets_50-75%,accuracy_50-75%,status_50-75%,markets_75-100%,accuracy_75-100%,status_75-100%
Sports > Soccer > Ligue 1,0,,N/A,0,,N/A,0,,N/A,100,89.0,NOT
Sports > Soccer > MLS,0,,N/A,3,100.0,PROFITABLE,3,66.7,NOT,57,87.7,NOT
Sports > Soccer > Polish Ekstraklasa,0,,N/A,0,,N/A,0,,N/A,21,85.7,NOT
Sports > Soccer > Saudi Pro League,1,100.0,PROFITABLE,0,,N/A,1,0.0,NOT,56,94.6,PROFITABLE
Sports > Soccer > Scottish Premiership,0,,N/A,0,,N/A,1,100.0,PROFITABLE,51,96.1,PROFITABLE
Sports > Soccer > Serie A,0,,N/A,0,,N/A,3,66.7,NOT,119,83.2,NOT
Sports > Soccer > Super League Greece,1,100.0,PROFITABLE,0,,N/A,0,,N/A,21,90.5,NOT
Sports > Soccer > Swiss Super League,1,0.0,NOT,0,,N/A,0,,N/A,49,81.6,NOT
Sports > Soccer > Turkish Super Lig,0,,N/A,0,,N/A,0,,N/A,56,91.1,PROFITABLE
Sports > Soccer > UEFA Champions League,2,50.0,NOT,3,100.0,PROFITABLE,3,100.0,PROFITABLE,114,88.6,NOT
Sports > Soccer > UEFA Conference League,0,,N/A,0,,N/A,0,,N/A,63,84.1,NOT
Sports > Soccer > UEFA Europa League,0,,N/A,0,,N/A,0,,N/A,58,91.4,PROFITABLE
Sports > Tennis > ATP,9,66.7,NOT,9,33.3,NOT,33,66.7,NOT,126,87.3,NOT
Sports > Tennis > ATP Challenger,0,,N/A,1,100.0,PROFITABLE,3,100.0,PROFITABLE,72,94.4,PROFITABLE
Sports > Tennis > ATP Italian Open,0,,N/A,9,100.0,PROFITABLE,4,100.0,PROFITABLE,7,100.0,PROFITABLE
Sports > Tennis > French Open Men's Singles,0,,N/A,9,55.6,NOT,18,94.4,PROFITABLE,11,90.9,NOT
Sports > Tennis > French Open Women's Singles,0,,N/A,10,90.0,NOT,16,93.8,PROFITABLE,19,73.7,NOT
Sports > Tennis > United Cup,0,,N/A,1,100.0,PROFITABLE,4,100.0,PROFITABLE,34,91.2,PROFITABLE
Sports > Tennis > WTA,0,,N/A,1,100.0,PROFITABLE,2,50.0,NOT,85,97.6,PROFITABLE
Sports > Tennis > WTA Challenger,0,,N/A,2,100.0,PROFITABLE,8,75.0,NOT,62,95.2,PROFITABLE
Transportation > Transportation,16,93.8,PROFITABLE,6,66.7,NOT,0,,N/A,0,,N/A
World > Flight Delays,0,,N/A,7,100.0,PROFITABLE,16,87.5,NOT,4,75.0,NOT
