sub_category,time_bucket,sample_num,ticker,price,time_to_close_h,correct
Climate and Weather > Temperature,75-100%,3,KXLOWTNYC-26FEB07-B6.5,92,0.1,CORRECT
Companies > Companies,0-25%,1,KXSPACEXSTARSHIP-11-25OCT31,90,1059.2,CORRECT
Companies > Companies,0-25%,2,KXSPACEXSTARSHIP-25SEP06,90,539.2,CORRECT
Companies > Companies,0-25%,3,KXSPACEXSTARSHIP-25AUG23,90,296.8,WRONG
Companies > Companies,25-50%,1,KXSPACEXSTARSHIP-25AUG27,91,28.6,CORRECT
Companies > Companies,25-50%,2,KXSPACEXSTARSHIP-6-24NOV19,92,31.0,CORRECT
Companies > Companies,25-50%,3,SPACEXSTARSHIP-2-24JUN06,91,15.7,CORRECT
Companies > Companies,50-75%,1,KXSPACEXSTARSHIP-25AUG24,90,6.0,WRONG
Companies > Companies,50-75%,2,KXSPACEXSTARSHIP-9-25MAY27,90,4.9,CORRECT
Companies > Companies,50-75%,3,KXSPACEXSTARSHIP-8-25MAR06,90,5.6,CORRECT
Crypto > Bitcoin,75-100%,1,KXBTC15M-26FEB120130-30,90,0.1,CORRECT
Crypto > Bitcoin,75-100%,2,KXBTC15M-26FEB120115-15,90,0.0,CORRECT
Crypto > Bitcoin,75-100%,3,KXBTC15M-26FEB120100-00,90,0.0,CORRECT
Crypto > Ethereum,75-100%,1,KXETH15M-26FEB120130-30,90,0.1,CORRECT
Crypto > Ethereum,75-100%,2,KXETH15M-26FEB120115-15,90,0.0,CORRECT
Crypto > Ethereum,75-100%,3,KXETH15M-26FEB120100-00,90,0.0,CORRECT
Crypto > Solana,75-100%,1,KXSOL15M-26FEB120130-30,90,0.1,CORRECT
Crypto > Solana,75-100%,2,KXSOL15M-26FEB120115-15,90,0.0,CORRECT
Crypto > Solana,75-100%,3,KXSOL15M-26FEB120045-45,90,0.1,CORRECT
Crypto > XRP,75-100%,1,KXXRP15M-26FEB120130-30,92,0.1,CORRECT
Crypto > XRP,75-100%,2,KXXRP15M-26FEB120045-45,92,0.2,CORRECT
Crypto > XRP,75-100%,3,KXXRP15M-26FEB120030-30,90,0.1,CORRECT
Economics > Employment & Fed,0-25%,1,KXADP-26JAN-T0,90,669.3,CORRECT
Economics > Employment & Fed,0-25%,2,KXADP-25DEC-T-25000,91,935.6,CORRECT
Economics > Employment & Fed,0-25%,3,KXADP-25DEC-T0,91,528.0,CORRECT
Economics > Employment & Fed,25-50%,1,KXPAYROLLS-25AUG-T25000,90,46.5,WRONG
Economics > Employment & Fed,25-50%,2,KXPAYROLLS-25JUL-T100000,90,21.9,WRONG
Economics > Employment & Fed,25-50%,3,JOBLESS-21NOV27-C200,90,22.2,CORRECT
Economics > Employment & Fed,50-75%,1,JOBLESS-22JUN04-C200,90,6.9,CORRECT
Economics > Employment & Fed,50-75%,2,KXJOBLESSCLAIMS-25SEP18-215000,92,11.8,CORRECT
Economics > Employment & Fed,75-100%,1,KXADP-25AUG-T25000,91,0.3,CORRECT
Economics > Employment & Fed,75-100%,2,KXPAYROLLS-26JAN-T60000,90,1.5,CORRECT
Economics > Employment & Fed,75-100%,3,KXFEDDECISION-25SEP-C25,92,1.5,CORRECT
Economics > Energy Prices,0-25%,1,GAS-23SEP11-T3.75,90,99.8,CORRECT
Economics > Energy Prices,0-25%,2,GAS-23AUG28-T3.75,90,145.9,CORRECT
Economics > Energy Prices,0-25%,3,GAS-23AUG14-T3.80,90,79.6,CORRECT
Economics > Energy Prices,25-50%,1,GAS-23SEP04-T3.75,90,26.9,CORRECT
Economics > Energy Prices,25-50%,2,KXAAAGASM-25MAY31-3.15,91,24.1,WRONG
Economics > Energy Prices,25-50%,3,KXAAAGASM-25APR30-3.15,91,16.0,CORRECT
Economics > Energy Prices,50-75%,1,GAS-23APR24-T3.60,90,7.5,CORRECT
Economics > Energy Prices,50-75%,2,AAAGASW-24OCT14-US-3.174,92,7.8,CORRECT
Economics > GDP,0-25%,1,KXGDP-25OCT30-T2.5,90,711.4,CORRECT
Economics > GDP,0-25%,2,KXGDP-25OCT30-T1.5,90,999.0,CORRECT
Economics > GDP,0-25%,3,KXGDP-25OCT30-T1.0,90,2152.3,CORRECT
Economics > GDP,25-50%,1,KXGDP-25JUL30-T2.0,91,20.9,CORRECT
Economics > GDP,25-50%,2,GDP-24OCT30-T2.4,92,22.1,CORRECT
Economics > Inflation,0-25%,1,KXCPISHELTER-24DEC-T0.1,92,1365.3,CORRECT
Economics > Inflation,0-25%,2,CPISHELTER-24SEP-T0.2,90,640.1,WRONG
Economics > Inflation,0-25%,3,CPISHELTER-24SEP-T0.3,90,640.1,WRONG
Economics > Inflation,25-50%,1,CPIUSEDCAR-23NOV-T0,90,23.1,CORRECT
Economics > Inflation,25-50%,2,KXCPICOREYOY-25AUG-T2.9,90,45.6,CORRECT
Economics > Inflation,25-50%,3,KXCPICOREYOY-25JUL-T2.9,90,14.3,CORRECT
Economics > Inflation,50-75%,1,KXCPIFOOD-24DEC-T0.1,92,7.9,CORRECT
Economics > Inflation,50-75%,2,KXCPIUSEDCAR-24DEC-T2.0,90,11.0,WRONG
Economics > Inflation,50-75%,3,KXCPIGAS-25FEB-T-2,90,5.5,CORRECT
Economics > Inflation,75-100%,1,KXCPIYOY-25JUN-T2.5,90,0.0,CORRECT
Economics > Other Economics,0-25%,1,KXBANKRUPTS-25MAR-40,90,851.7,CORRECT
Economics > Other Economics,0-25%,2,KXBANKRUPTS-25FEB-50,90,300.8,CORRECT
Economics > Other Economics,0-25%,3,KXBANKRUPTS-25JAN-50,91,415.1,CORRECT
Economics > Other Economics,25-50%,1,KXFEAR-25JUL25-GREED,90,14.5,CORRECT
Economics > Other Economics,25-50%,2,KXFEAR-25JUN13-GREED,90,47.9,CORRECT
Economics > Other Economics,25-50%,3,KXFEAR-25MAY16-GREED,91,24.8,CORRECT
Economics > Other Economics,50-75%,1,KXBANKRUPTS-25JAN-70,90,7.9,WRONG
Entertainment > Movies,0-25%,1,KXNETFLIXRANKMOVIERUNNERUP-26FEB09-THE,90,146.8,WRONG
Entertainment > Movies,0-25%,2,KXNETFLIXRANKMOVIERUNNERUP-26JAN26-KID,90,70.3,CORRECT
Entertainment > Movies,0-25%,3,KXNETFLIXRANKMOVIERUNNERUP-26JAN19-PEO,90,99.7,CORRECT
Entertainment > Movies,25-50%,1,KXNETFLIXRANKMOVIERUNNERUP-26FEB09-MIKE,90,24.4,CORRECT
Entertainment > Movies,25-50%,2,KXNETFLIXRANKMOVIERUNNERUP-26JAN12-EVI,90,24.4,CORRECT
Entertainment > Movies,25-50%,3,KXNETFLIXRANKMOVIERUNNERUP-26JAN05-WRA,91,14.4,WRONG
Entertainment > Movies,50-75%,1,KXNETFLIXRANKMOVIERUNNERUP-26FEB02-M3G,91,12.0,CORRECT
Entertainment > Movies,50-75%,2,KXNETFLIXRANKSHOW-25DEC29-STR,90,9.1,CORRECT
Entertainment > Movies,50-75%,3,KXNETFLIXRANKSHOWRUNNERUP-26JAN26-SKY,90,11.4,CORRECT
Entertainment > Movies,75-100%,1,KXNETFLIXRANKMOVIERUNNERUP-26FEB02-COP,90,2.0,WRONG
Entertainment > Movies,75-100%,2,KXNETFLIXRANKMOVIERUNNERUP-25DEC01-KPO,90,0.1,CORRECT
Entertainment > Music charts,0-25%,1,KXBILLBOARDRUNNERUPSONG-26JAN24-IJU,91,97.0,WRONG
Entertainment > Music charts,0-25%,2,KXBILLBOARDRUNNERUPSONG-26JAN10-GOL,91,115.0,CORRECT
Entertainment > Music charts,0-25%,3,KXBILLBOARDRUNNERUPSONG-26JAN03-ROC,92,144.1,CORRECT
Entertainment > Music charts,25-50%,1,KXBILLBOARDRUNNERUPSONG-26FEB14-MAN,91,37.0,CORRECT
Entertainment > Music charts,25-50%,2,KXBILLBOARDRUNNERUPSONG-25DEC20-JIN,90,26.0,WRONG
Entertainment > Music charts,25-50%,3,KXSPOTIFYARTISTD-26FEB03-BAD,90,13.6,CORRECT
Entertainment > Music charts,50-75%,1,KXSPOTIFYARTISTD-26JAN29-DRA,90,8.7,CORRECT
Entertainment > Music charts,50-75%,2,KXSPOTIFY2D-26FEB07-BAI,90,9.6,CORRECT
Entertainment > Music charts,50-75%,3,KXSPOTIFY2D-26JAN31-CHO,92,3.7,CORRECT
Entertainment > Other,0-25%,1,KXTOPSONG-26FEB14-MAN,90,60.3,WRONG
Entertainment > Other,0-25%,2,KXTOPSONG-26FEB07-APE,92,205.1,CORRECT
Entertainment > Other,0-25%,3,KXTOPSONG-26JAN31-JUS,90,94.6,CORRECT
Entertainment > Other,25-50%,1,KXTOPSONG-26JAN24-IJU,90,43.6,CORRECT
Financials > Forex,0-25%,1,EURO-22JUN24-B1.0550000000000002,91,77.2,CORRECT
Financials > Forex,0-25%,2,EURO-22JUN17-T1.05,91,122.8,WRONG
Financials > Forex,0-25%,3,EURO-22JUN17-B1.045,91,101.5,CORRECT
Financials > Forex,25-50%,1,KXEURUSD-26JAN2710-B1.187,92,15.5,WRONG
Financials > Forex,25-50%,2,EUROIMF-11AUG22-T1.025,91,24.0,CORRECT
Financials > Forex,25-50%,3,EUROIMF-29JUL22-T1.010,92,18.7,CORRECT
Financials > Forex,50-75%,1,KXEURUSD-26FEB0210-B1.185,91,6.4,WRONG
Financials > Forex,50-75%,2,EUROIMF-09AUG22-T1.015,90,12.0,CORRECT
Financials > Forex,75-100%,1,EUROIMF-09AUG22-T1.020,92,2.7,CORRECT
Financials > Forex,75-100%,2,EUROIMF-04AUG22-T1.015,92,2.7,CORRECT
Financials > Forex,75-100%,3,EUROIMF-08JUL22-T1.015,91,1.5,CORRECT
Financials > Stock Indices,25-50%,1,NASDAQ100Z-24FEB22-T17478.91,92,20.2,CORRECT
Financials > Stock Indices,25-50%,2,NASDAQ100Z-24JAN16-T16832.92,90,25.7,WRONG
Financials > Stock Indices,50-75%,1,INXZ-24MAR21-T5224.62,92,5.5,CORRECT
Financials > Stock Indices,50-75%,2,INXZ-24MAR06-T5078.65,90,6.5,CORRECT
Financials > Stock Indices,50-75%,3,INXZ-24MAR01-T5096.27,90,4.9,CORRECT
Financials > Stock Indices,75-100%,1,INXZ-24MAR20-T5178.51,92,1.2,CORRECT
Financials > Stock Indices,75-100%,2,INXZ-24FEB29-T5069.76,90,2.1,CORRECT
Financials > Stock Indices,75-100%,3,INXZ-24FEB27-T5069.53,90,0.8,CORRECT
Health > COVID-19,0-25%,1,BOOSTER-22APR06-T98.1,90,120.1,CORRECT
Health > COVID-19,0-25%,2,BOOSTER-22MAR09-T95,92,137.4,WRONG
Health > COVID-19,0-25%,3,BOOSTER-22FEB16-T92,90,69.5,CORRECT
Health > COVID-19,25-50%,1,BOOSTER-21DEC20-T60,90,22.5,CORRECT
Health > COVID-19,25-50%,2,CASEW-21NOV17-C595,91,31.2,CORRECT
Health > COVID-19,25-50%,3,CASEW-21SEP15-C980,90,29.1,CORRECT
Health > COVID-19,50-75%,1,"CASED-22AUG10-T125,000",90,3.9,CORRECT
Health > COVID-19,50-75%,2,CASED-22MAY02-T60000,91,3.5,CORRECT
Health > COVID-19,50-75%,3,"CASED-22APR06-T36,000",90,3.9,CORRECT
Health > COVID-19,75-100%,1,"CASED-22AUG03-T125,000",90,2.9,CORRECT
Health > COVID-19,75-100%,2,"CASED-22JUN24-T125,000",90,0.7,CORRECT
Health > COVID-19,75-100%,3,CASED-22MAR21-T40,90,2.1,CORRECT
Mentions > Mentions,0-25%,1,KXKIMMELMENTION-26JAN22-SELE,91,59.3,CORRECT
Mentions > Mentions,0-25%,2,KXKIMMELMENTION-26JAN15-MOVI,91,59.9,CORRECT
Mentions > Mentions,0-25%,3,KXKIMMELMENTION-26JAN15-FILM,90,58.7,CORRECT
Mentions > Mentions,25-50%,1,KXKIMMELMENTION-26JAN22-STEV,90,38.6,CORRECT
Mentions > Mentions,25-50%,2,KXKIMMELMENTION-26JAN16-HAMN,90,12.3,CORRECT
Mentions > Mentions,25-50%,3,KXKIMMELMENTION-26JAN09-ICE,90,19.8,WRONG
Mentions > Mentions,50-75%,1,KXKIMMELMENTION-26JAN22-TRUM,90,10.1,CORRECT
Mentions > Mentions,50-75%,2,KXKIMMELMENTION-26JAN22-GOLD,91,10.2,CORRECT
Mentions > Mentions,50-75%,3,KXKIMMELMENTION-26JAN16-PAUL,91,9.5,CORRECT
Mentions > Mentions,75-100%,1,KXMAMDANIMENTION-26MAR01-SNOW,90,1.7,WRONG
Mentions > Mentions,75-100%,2,KXMAMDANIMENTION-26MAR01-SAFE,90,1.8,CORRECT
Mentions > Mentions,75-100%,3,KXMAMDANIMENTION-26MAR01-NYPD,92,0.6,CORRECT
Politics > Approval Ratings,0-25%,1,538APPROVEMAX-23SEP30-T41,90,283.8,CORRECT
Politics > Approval Ratings,0-25%,2,538APPROVEMAX-23JUN30-T42,90,53.5,CORRECT
Politics > Approval Ratings,0-25%,3,KX538APPROVE-25FEB26-T48.1,90,50.2,CORRECT
Politics > Approval Ratings,25-50%,1,KX538APPROVE-25MAR05-B47.8,91,15.4,WRONG
Politics > Approval Ratings,25-50%,2,KX538APPROVE-25FEB12-B48.8,90,12.6,CORRECT
Politics > Approval Ratings,25-50%,3,KX538APPROVE-24NOV27-B37.6,90,12.5,CORRECT
Politics > Approval Ratings,50-75%,1,KX538APPROVE-24DEC04-B37.7,91,12.0,WRONG
Politics > Approval Ratings,50-75%,2,KX538APPROVE-24DEC04-B37.2,90,10.4,CORRECT
Politics > Approval Ratings,50-75%,3,KX538APPROVE-24NOV20-B38.1,90,8.0,CORRECT
Politics > Approval Ratings,75-100%,1,KX538APPROVE-25JAN15-B36.6,90,1.8,CORRECT
Politics > Approval Ratings,75-100%,2,538APPROVEMIN-24APR30-T39,91,0.0,CORRECT
Politics > Other Politics,0-25%,1,KXLAGODAYS-25JUN-0,90,624.1,CORRECT
Politics > Other Politics,0-25%,2,KXLAGODAYS-25MAY-1,91,497.4,CORRECT
Politics > Other Politics,0-25%,3,KXLAGODAYS-25APR-2,90,227.4,CORRECT
Politics > Other Politics,25-50%,1,KXLAGODAYS-26JAN-4,90,25.9,CORRECT
Politics > Other Politics,25-50%,2,KXAPRPOTUS-26JAN16-43.0,92,20.1,CORRECT
Politics > Other Politics,25-50%,3,KXAPRPOTUS-25DEC12-43.75,90,19.8,CORRECT
Politics > Other Politics,50-75%,1,KXAPRPOTUS-25DEC05-42.55,92,10.4,WRONG
Politics > Other Politics,50-75%,2,KXAPRPOTUS-25SEP05-45.3,92,9.1,CORRECT
Politics > Other Politics,75-100%,1,KXAPRPOTUS-26FEB06-42.4,90,2.8,CORRECT
Politics > Other Politics,75-100%,2,KXAPRPOTUS-26JAN30-42.4,92,0.6,CORRECT
Sports > Baseball > MLB,25-50%,1,KXMLBTOTAL-25OCT29TORLAD-3,90,22.1,CORRECT
Sports > Baseball > MLB,50-75%,1,KXMLBTOTAL-25OCT27TORLAD-7,92,4.9,CORRECT
Sports > Baseball > MLB,50-75%,2,KXMLBTOTAL-25OCT25LADTOR-3,92,8.1,CORRECT
Sports > Baseball > MLB,50-75%,3,KXMLBTOTAL-25OCT24LADTOR-3,90,3.0,CORRECT
Sports > Baseball > MLB,75-100%,1,KXMLBSPREAD-25OCT31LADTOR-LAD1,90,0.6,CORRECT
Sports > Baseball > MLB,75-100%,2,KXMLBSPREAD-25OCT29TORLAD-TOR3,90,0.6,CORRECT
Sports > Baseball > MLB,75-100%,3,KXMLBSPREAD-25OCT29TORLAD-TOR1,91,0.9,CORRECT
Sports > Basketball > NBA,25-50%,1,KXNBATOTAL-26FEB11OKCPHX-202,90,37.9,CORRECT
Sports > Basketball > NBA,25-50%,2,KXNBATOTAL-26FEB11NYKPHI-208,90,25.3,CORRECT
Sports > Basketball > NBA,25-50%,3,KXWNBAGAME-25SEP10ATLCONN-ATL,90,23.1,CORRECT
Sports > Basketball > NBA,50-75%,1,KXNBAREB-26FEB11MIANOP-NOPDQUEEN22-4,92,3.7,CORRECT
Sports > Basketball > NBA,50-75%,2,KXWNBAGAME-25SEP14NYLPHX-NYL,90,3.4,CORRECT
Sports > Basketball > NBA,50-75%,3,KXWNBAGAME-25SEP14GSVMIN-MIN,90,8.6,CORRECT
Sports > Basketball > NBA,75-100%,1,KXNBATOTAL-26FEB11MIANOP-232,90,0.4,CORRECT
Sports > Basketball > NBA,75-100%,2,KXNBATOTAL-26FEB11MIANOP-229,91,0.6,CORRECT
Sports > Basketball > NBA,75-100%,3,KXNBATOTAL-26FEB11MIANOP-226,90,0.7,CORRECT
Sports > Cricket > T20,25-50%,1,KXCRICKETT20IMATCH-26JAN26ITAIRL-IRL,92,24.1,WRONG
Sports > Cricket > T20,25-50%,2,KXCRICKETT20IMATCH-26JAN25NZIND-IND,90,47.8,CORRECT
Sports > Cricket > T20,25-50%,3,KXCRICKETT20IMATCH-26JAN11PAKSRI-SRI,92,35.1,CORRECT
Sports > Cricket > T20,50-75%,1,KXCRICKETT20IMATCH-25DEC22CAMIDN-IDN,90,10.7,CORRECT
Sports > Cricket > T20,50-75%,2,KXCRICKETT20IMATCH-25DEC19SAIND-IND,90,3.5,CORRECT
Sports > Cricket > T20,50-75%,3,KXCRICKETT20IMATCH-25DEC13SINMAL-MAL,91,7.1,CORRECT
Sports > Cricket > T20,75-100%,1,KXCRICKETT20IMATCH-26FEB03ENGSRI-SRI,90,1.4,WRONG
Sports > Cricket > T20,75-100%,2,KXCRICKETT20IMATCH-26FEB03ENGSRI-ENG,92,0.3,CORRECT
Sports > Cricket > T20,75-100%,3,KXCRICKETT20IMATCH-26FEB01ENGSRI-ENG,90,0.5,CORRECT
Sports > Darts > Darts,50-75%,1,KXDARTSMATCH-25DEC29LWOOKRAT-KRAT,92,9.7,CORRECT
Sports > Darts > Darts,50-75%,2,KXDARTSMATCH-25DEC22GVANASOU-GVAN,90,4.2,CORRECT
Sports > Darts > Darts,50-75%,3,KXDARTSMATCH-25DEC22NASPLGAT-NASP,92,5.2,CORRECT
Sports > Darts > Darts,75-100%,1,KXDARTSMATCH-26JAN01LHUMGVAN-LHUM,90,0.9,WRONG
Sports > Darts > Darts,75-100%,2,KXDARTSMATCH-25DEC29LLITRCRO-LLIT,92,0.7,CORRECT
Sports > Darts > Darts,75-100%,3,KXDARTSMATCH-25DEC29NASPKDOE-KDOE,91,0.1,CORRECT
Sports > Esports > Call of Duty,0-25%,1,KXCODGAME-26JAN25FAZVAN-FAZ,90,49.2,CORRECT
Sports > Esports > Call of Duty,0-25%,2,KXCODGAME-25DEC06PARVAN-PAR,92,67.9,CORRECT
Sports > Esports > Call of Duty,25-50%,1,KXCODGAME-26JAN10C9NYPAR-PAR,90,25.3,CORRECT
Sports > Esports > Call of Duty,25-50%,2,KXCODGAME-25DEC05TEXRIYF-TEX,92,43.4,CORRECT
Sports > Esports > Call of Duty,75-100%,1,KXCODGAME-26FEB01G2MFAZ-FAZ,91,0.6,CORRECT
Sports > Esports > Call of Duty,75-100%,2,KXCODGAME-26FEB01TEXPAR-TEX,90,0.5,CORRECT
Sports > Esports > Call of Duty,75-100%,3,KXCODGAME-26JAN31G2MTEX-TEX,90,0.8,CORRECT
Sports > Esports > Counter-Strike,25-50%,1,KXCS2GAME-26FEB10MOUPSSNUA-PSSNUA,91,15.0,CORRECT
Sports > Esports > Counter-Strike,25-50%,2,KXCS2GAME-26JAN31BCGVIT-VIT,90,14.8,CORRECT
Sports > Esports > Counter-Strike,50-75%,1,KXCS2TOTALMAPS-26JAN14GLPSSNUA-3,90,3.6,CORRECT
Sports > Esports > Counter-Strike,50-75%,2,KXCSGOGAME-25DEC01ASTAUR-AUR,92,3.4,WRONG
Sports > Esports > Counter-Strike,50-75%,3,KXCSGOGAME-25DEC01NIPPRV-NIP,90,3.0,WRONG
Sports > Esports > Counter-Strike,75-100%,1,KXCS2TOTALMAPS-26FEB11OGALL-3,90,1.5,CORRECT
Sports > Esports > Counter-Strike,75-100%,2,KXCS2TOTALMAPS-26FEB08VITFURIA-5,90,1.3,WRONG
Sports > Esports > Counter-Strike,75-100%,3,KXCS2TOTALMAPS-26FEB06MOUZG2-3,90,0.2,WRONG
Sports > Esports > Dota 2,25-50%,1,KXDOTA2GAME-26JAN27PIPZ10-PIP,90,12.5,CORRECT
Sports > Esports > Dota 2,50-75%,1,KXDOTA2GAME-26JAN25NEMIGASTR-NEMIGA,92,7.9,WRONG
Sports > Esports > Dota 2,75-100%,1,KXDOTA2GAME-26FEB08HEROICTUNDRA-HEROIC,91,0.8,CORRECT
Sports > Esports > Dota 2,75-100%,2,KXDOTA2GAME-26FEB07TSTY-TY,90,1.2,CORRECT
Sports > Esports > Dota 2,75-100%,3,KXDOTA2GAME-26FEB07XTREMEFLC-FLC,92,1.3,CORRECT
Sports > Esports > FIFA,0-25%,1,KXFIFAGAME-25NOV18MARUGA-MAR,90,73.9,CORRECT
Sports > Esports > FIFA,0-25%,2,KXFIFAGAME-25NOV18TTOBMU-TTO,90,72.9,CORRECT
Sports > Esports > FIFA,25-50%,1,KXFIFAGAME-25NOV17FINAND-FIN,90,13.5,CORRECT
Sports > Esports > FIFA,50-75%,1,KXFIFAGAME-25NOV18KENSEN-SEN,90,9.0,CORRECT
Sports > Esports > FIFA,75-100%,1,KXFIFAGAME-25DEC21PERBOL-PER,90,0.3,CORRECT
Sports > Esports > FIFA,75-100%,2,KXFIFAGAME-25DEC16CODZAM-COD,90,0.9,CORRECT
Sports > Esports > FIFA,75-100%,3,KXFIFAGAME-25DEC16EGYNGR-EGY,90,0.3,CORRECT
Sports > Esports > League of Legends,0-25%,1,KXLOLGAME-26FEB10LNGTT-LNG,90,49.8,CORRECT
Sports > Esports > League of Legends,0-25%,2,KXLOLGAME-26FEB06GZCFO-CFO,90,59.2,WRONG
Sports > Esports > League of Legends,0-25%,3,KXLOLGAME-26FEB05DFMDCG-DCG,90,69.3,CORRECT
Sports > Esports > League of Legends,25-50%,1,KXLOLTOTALMAPS-26FEB01GENHLE-4,90,12.3,WRONG
Sports > Esports > League of Legends,25-50%,2,KXLOLGAMES-100T125-T1,92,45.0,CORRECT
Sports > Esports > League of Legends,25-50%,3,KXLOLGAMES-HANCTB25-HAN,90,12.5,CORRECT
Sports > Esports > League of Legends,50-75%,1,KXLOLGAME-26FEB10DRXCHLE-HLE,90,6.0,WRONG
Sports > Esports > League of Legends,50-75%,2,KXLOLGAME-26FEB10DRXCHLE-DRXC,90,3.8,CORRECT
Sports > Esports > League of Legends,50-75%,3,KXLOLGAME-26FEB09WETES-TES,90,5.0,CORRECT
Sports > Esports > League of Legends,75-100%,1,KXLOLGAME-26FEB11OMGIG-IG,90,1.1,CORRECT
Sports > Esports > League of Legends,75-100%,2,KXLOLGAME-26FEB11LNGWE-WE,90,0.6,CORRECT
Sports > Esports > League of Legends,75-100%,3,KXLOLGAME-26FEB08DIGTL-TL,90,0.9,CORRECT
Sports > Esports > Rainbow Six Siege,25-50%,1,KXR6MAP-26FEB06DAYFLCS-2-FLCS,90,12.4,CORRECT
Sports > Esports > Rainbow Six Siege,25-50%,2,KXR6GAME-26FEB04ELVFURIA-FURIA,91,12.8,CORRECT
Sports > Esports > Rainbow Six Siege,25-50%,3,KXR6GAME-26FEB03EPFLU-FLU,90,26.0,CORRECT
Sports > Esports > Rainbow Six Siege,50-75%,1,KXR6MAP-26FEB06DAYFLCS-1-FLCS,90,5.4,CORRECT
Sports > Esports > Rainbow Six Siege,50-75%,2,KXR6GAME-26JAN11TMVP-VP,91,3.3,WRONG
Sports > Esports > Rainbow Six Siege,50-75%,3,KXR6GAME-26JAN10VPPZ-PZ,90,3.7,CORRECT
Sports > Esports > Rainbow Six Siege,75-100%,1,KXR6MAP-26FEB05OXGSSG-1-SSG,90,1.2,CORRECT
Sports > Esports > Rainbow Six Siege,75-100%,2,KXR6MAP-26FEB05HERETICSM80-2-HERETICS,91,0.0,CORRECT
Sports > Esports > Rainbow Six Siege,75-100%,3,KXR6MAP-26FEB06FXM80-2-M80,91,0.4,CORRECT
Sports > Esports > Valorant,0-25%,1,KXVALORANTGAME-26JAN28ULFTH-TH,90,56.3,CORRECT
Sports > Esports > Valorant,0-25%,2,KXVALORANTGAME-26JAN22TYLOOFPX-FPX,91,56.2,WRONG
Sports > Esports > Valorant,25-50%,1,KXVALORANTGAME-26JAN25GEPR-PR,91,12.5,CORRECT
Sports > Esports > Valorant,50-75%,1,KXVALORANTGAME-26FEB05GENGVAR-GENG,91,4.1,CORRECT
Sports > Esports > Valorant,50-75%,2,KXVALORANTGAME-26JAN30BLGTE-BLG,90,11.1,CORRECT
Sports > Esports > Valorant,50-75%,3,KXVALORANTGAME-26JAN31EGLOUD-EG,92,4.1,CORRECT
Sports > Esports > Valorant,75-100%,1,KXVALORANTMAP-26FEB08XLGBLG-3-XLG,91,0.3,WRONG
